Village Name,Mandal
75 Tyallur,Pedakurapadu
Balusupadu,Pedakurapadu
Chinamakkena,Pedakurapadu
Garapadu,Pedakurapadu
Hussainnagaram,Pedakurapadu
Jalalpuram,Pedakurapadu
Kambhampadu,Pedakurapadu
Kasipadu,Pedakurapadu
Lagadapadu,Pedakurapadu
Lingamguntla,Pedakurapadu
Mussapuram,Pedakurapadu
Patibandla,Pedakurapadu
Pedakurapadu,Pedakurapadu
Ramapuram,Pedakurapadu
Ananthavaram,Krosuru
Andukuru,Krosuru
Balemarru,Krosuru
Bayyavaram,Krosuru
Dodleru,Krosuru
Garikapadu,Krosuru
Gudipadu,Krosuru
Hassanbada,Krosuru
Krosuru,Krosuru
Parupalle,Krosuru
Peesapadu,Krosuru
Thalluru,Krosuru
Vipparla,Krosuru
Vutukuru,Krosuru
Vuyyandana,Krosuru
Amaravathi,Amaravathi
Attalur,Amaravathi
Dharanikota,Amaravathi
Didugu,Amaravathi
Endroyi,Amaravathi
Jupudi,Amaravathi
Karlapudi,Amaravathi
Lingapuram,Amaravathi
Malladi,Amaravathi
Munugodu,Amaravathi
Narukullapadu,Amaravathi
Nemalikallu,Amaravathi
Pedda Madduru,Amaravathi
Pondugala,Amaravathi
Unguturu,Amaravathi
Vykuntapuram,Amaravathi
Atchampeta,Atchampeta
Ambadipudi,Atchampeta
Challagariga,Atchampeta
Chamarru,Atchampeta
Chigurupadu,Atchampeta
Chintapalle,Atchampeta
Ginjupalle,Atchampeta
Kastala Agraharam,Atchampeta
Kogantivaripalem,Atchampeta
Konduru,Atchampeta
Konuru,Atchampeta
Madipadu Agraharam,Atchampeta
Madipadu Seri,Atchampeta
Mittapalem,Atchampeta
Orvakallu,Atchampeta
Pedapalem,Atchampeta
Taduvoy,Atchampeta
Tallacheruvu,Atchampeta
Velpuru,Atchampeta
Bellamkonda,Bellamkonda
Bodanam,Bellamkonda
Chandrajupalem,Bellamkonda
Chityala,Bellamkonda
Emmajigudem,Bellamkonda
Kethavaram,Bellamkonda
Kolluru,Bellamkonda
Machayapalem,Bellamkonda
Mannesultanpalem,Bellamkonda
Papayapalem,Bellamkonda
Pulichinta,Bellamkonda
Vannayapalem,Bellamkonda
Venkatayapalem,Bellamkonda
